75181645_R_CC_1|[0.0, 378.0, 756.0, 1133.0, 1511.0]|1512|2176|3328
75865422_L_CC_1|[375.0, 1113.0, 1851.0, 2589.0, 3327.0]|375|1832|3328
4980043_R_CC_1|[0.0, 625.0, 1250.0, 1874.0, 2499.0]|2500|2012|3328
4285649_L_CC_1|[1663.0, 2079.0, 2495.0, 2911.0, 3327.0]|1663|1948|3328
76441079_L_CC_1|[771.0, 1218.0, 1665.0, 2112.0, 2559.0]|771|1512|2560
76547033_R_CC_1|[0.0, 470.0, 940.0, 1409.0, 1879.0]|1880|2304|3328
4784216_L_CC_1|[1795.0, 2178.0, 2561.0, 2944.0, 3327.0]|1795|1900|3328
75677399_L_CC_1|[1515.0, 1968.0, 2421.0, 2874.0, 3327.0]|1515|2092|3328
4788439_R_CC_1|[0.0, 573.0, 1146.0, 1718.0, 2291.0]|2292|2072|3328
4896926_L_CC_1|[1351.0, 1845.0, 2339.0, 2833.0, 3327.0]|1351|1904|3328
3623888_R_CC_1|[0.0, 383.0, 766.0, 1148.0, 1531.0]|1532|1800|2560
76738590_L_CC_1|[1743.0, 2139.0, 2535.0, 2931.0, 3327.0]|1743|1976|3328
75358300_R_CC_1|[0.0, 301.0, 602.0, 902.0, 1203.0]|1204|1648|2560
76226671_L_CC_1|[1755.0, 2148.0, 2541.0, 2934.0, 3327.0]|1755|1916|3328
4235393_R_CC_1|[0.0, 674.0, 1348.0, 2021.0, 2695.0]|2696|1972|3328
4045786_R_CC_1|[0.0, 363.0, 726.0, 1088.0, 1451.0]|1452|1656|2560
75238661_L_CC_1|[1879.0, 2241.0, 2603.0, 2965.0, 3327.0]|1879|2256|3328
4703773_R_CC_1|[0.0, 467.0, 934.0, 1400.0, 1867.0]|1868|2356|3328
4220072_R_CC_1|[0.0, 446.0, 892.0, 1337.0, 1783.0]|1784|1912|3328
75046480_L_CC_1|[1271.0, 1785.0, 2299.0, 2813.0, 3327.0]|1271|2156|3328
76616453_R_CC_1|[0.0, 441.0, 882.0, 1322.0, 1763.0]|1764|2536|3328
75198237_R_CC_1|[0.0, 622.0, 1244.0, 1865.0, 2487.0]|2488|2052|3328
75821790_L_CC_1|[167.0, 957.0, 1747.0, 2537.0, 3327.0]|167|1884|3328
76193903_L_CC_1|[1803.0, 2184.0, 2565.0, 2946.0, 3327.0]|1803|2048|3328
76895570_R_CC_1|[0.0, 343.0, 686.0, 1028.0, 1371.0]|1372|2360|3328
4539233_L_CC_1|[507.0, 1212.0, 1917.0, 2622.0, 3327.0]|507|1992|3328
75095670_R_CC_1|[0.0, 241.0, 482.0, 722.0, 963.0]|964|1648|2560
76826771_L_CC_1|[1143.0, 1497.0, 1851.0, 2205.0, 2559.0]|1143|1808|2560
75353334_R_CC_1|[0.0, 639.0, 1278.0, 1916.0, 2555.0]|2556|2204|3328
75097630_L_CC_1|[819.0, 1446.0, 2073.0, 2700.0, 3327.0]|819|2088|3328
76056065_R_CC_1|[0.0, 393.0, 786.0, 1178.0, 1571.0]|1572|1804|3328
76089274_R_CC_1|[0.0, 380.0, 760.0, 1139.0, 1519.0]|1520|2156|3328
75785455_R_CC_1|[0.0, 487.0, 974.0, 1460.0, 1947.0]|1948|2156|3328
76894283_L_CC_1|[1071.0, 1635.0, 2199.0, 2763.0, 3327.0]|1071|2172|3328
76101198_L_CC_1|[811.0, 1440.0, 2069.0, 2698.0, 3327.0]|811|2244|3328
75910191_R_CC_1|[0.0, 435.0, 870.0, 1304.0, 1739.0]|1740|2048|3328
4340598_L_CC_1|[1227.0, 1752.0, 2277.0, 2802.0, 3327.0]|1227|2104|3328
76514508_L_CC_1|[0.0, 832.0, 1664.0, 2495.0, 3327.0]|0|2104|3328
76710381_R_CC_1|[0.0, 330.0, 660.0, 989.0, 1319.0]|1320|1700|2560
75144408_L_CC_1|[1271.0, 1785.0, 2299.0, 2813.0, 3327.0]|1271|1980|3328
76716777_R_CC_1|[0.0, 526.0, 1052.0, 1577.0, 2103.0]|2104|2228|3328
75357583_R_CC_1|[0.0, 221.0, 442.0, 662.0, 883.0]|884|1384|2560
3766742_R_CC_1|[nan, nan, nan, nan, nan]|0|1504|3328
76784650_R_CC_1|[0.0, 403.0, 806.0, 1208.0, 1611.0]|1612|2184|3328
4245333_R_CC_1|[0.0, 449.0, 898.0, 1346.0, 1795.0]|1796|2196|3328
4628262_R_CC_1|[0.0, 491.0, 982.0, 1472.0, 1963.0]|1964|2244|3328
4260539_L_CC_1|[1283.0, 1602.0, 1921.0, 2240.0, 2559.0]|1283|1864|2560
76759516_R_CC_1|[0.0, 384.0, 768.0, 1151.0, 1535.0]|1536|1600|2560
76787935_R_CC_1|[0.0, 500.0, 1000.0, 1499.0, 1999.0]|2000|2192|3328
75977486_R_CC_1|[0.0, 295.0, 590.0, 884.0, 1179.0]|1180|1552|3328
5282166_L_CC_1|[1319.0, 1629.0, 1939.0, 2249.0, 2559.0]|1319|1628|2560
75839179_R_CC_1|[0.0, 721.0, 1442.0, 2162.0, 2883.0]|2884|2152|3328
